Ogrójec,Ogrójec,Ogrójec,,,
Onufry,Onufry,Onufry,,,
Onufry M,Onufry,Onufry,,,
Onufry P,Onufry Wielki Pustelnik,Onufry Wielki Pustelnik,,,
Onufry W,Onufry,Onufry,,,
Opieka św. Józefa,Opieka św. Józefa Oblubieńca Najświętszej Maryi Panny,Opieka św. Józefa Oblubieńca Najświętszej Maryi Panny,,,
Opieki Św. Józefa,Opieka św. Józefa Oblubieńca Najświętszej Maryi Panny,Opieka św. Józefa Oblubieńca Najświętszej Maryi Panny,,,
OpJózefa,Opieka św. Józefa Oblubieńca Najświętszej Maryi Panny,Opieka św. Józefa Oblubieńca Najświętszej Maryi Panny,,,
OpJózefa OblNMP,Opieka św. Józefa Oblubieńca Najświętszej Maryi Panny,Opieka św. Józefa Oblubieńca Najświętszej Maryi Panny,,,
OpNMP,Opieka Najświętszej Maryi Panny,Opieka Najświętszej Maryi Panny,,,
Oswald Bp,Oswald Król Męczennik,Oswald Król i Męczennik,,,
Oswald Kr,Oswald Król Męczennik,Oswald Król i Męczennik,,,
Oswald Król,Oswald Król Męczennik,Oswald Król i Męczennik,,,
Otton Bp,Otton z Bambergu Biskup,Otton z Bambergu Biskup,,,
Otylia PM,Otylia Panna Męczennica,Otylia Panna i Męczennica,,,
Pankracy M,Pankracy Męczennik,Pankracy Męczennik,,,
Pantaleon M,Pantaleon Męczennik,Pantaleon Męczennik,,,
Paweł Ap,Paweł Apostoł,Paweł Apostoł,,,
Pięciu Braci MM,Pięciu Braci Męczenników,Pięciu Braci Męczenników,,,
Piotr Ap,Piotr Apostoł,Piotr Apostoł,,,
Piotr Apostoł,Piotr Apostoł,Piotr Apostoł,,,
Piotr i Paweł AAp,Piotr i Paweł Apostołowie,Piotr i Paweł Apostołowie,,,
Piotr i Paweł AAp,Piotr i Paweł Apostołowie,Piotr i Paweł Apostołowie,,,
Piotr i Paweł Ap,Piotr i Paweł Apostołowie,Piotr i Paweł Apostołowie,,,
Piotr M,Piotr Męczennik,Piotr Męczennik,,,
Piotr wO,Piotr w Okowach,Piotr w Okowach,,,
Pius V Pp,Pius V Papież,Pius V Papież,,,
Pius X,Pius X Papież,Pius X Papież,,,
Pkrzyża Św,Podwyższenie Krzyża Świętego,Podwyższenie Krzyża Świętego,,,
PKrzyża Św,Podwyższenie Krzyża Świętego,Podwyższenie Krzyża Świętego,,,
PocNMP,Najświętsza Maryja Panna Matka Pocieszenia,Najświętsza Maryja Panna Matka Pocieszenia,,,
Poczęcie Anny,Poczęcie św. Anny,Poczęcie św. Anny,,,
Poczęcie Jana Ch,Poczęcie św. Jana Chrzciciela,Poczęcie św. Jana Chrzciciela,,,
PPańskie,Przemienienie Pańskie,Przemienienie Pańskie,,,
Prakseda,Prakseda,Prakseda,,,
Prakseda OM,Prakseda Panna Męczennica,Prakseda Panna i Męczennica,,,
Prakseda P,Prakseda Panna Męczennica,Prakseda Panna i Męczennica,,,
Prakseda PM,Prakseda Panna Męczennica,Prakseda Panna i Męczennica,,,
Prakseda Trnawska,Paraskiewa Tyrnowska,Paraskiewa Tyrnowska,,,
Prokop M,Prokop Męczennik,Prokop Męczennik,,,
Prokop Męczennik,Prokop Męczennik,Prokop Męczennik,,,
Prokop O,Prokop Opat,Prokop Opat,,,
Prokop Opat,Prokop Opat,Prokop Opat,,,
Prym i Felicjan MM,Prym i Felicjan Męczennicy,Prym i Felicjan Męczennicy,,,
Przemienienie Pańskie,Przemienienie Pańskie,Przemienienie Pańskie,,,
Przeniesienie Relikwi Mikołaja Bpa,Przeniesienie Relikwii św. Mikołaja Biskupa,Przeniesienie Relikwii św. Mikołaja Biskupa,,,
Przeniesienie Relikwi Romana i Dawida MM,Przeniesienie Relikwii świętych Romana i Dawida Męczenników,Przeniesienie Relikwii świętych Romana i Dawida Męczenników,,,
Przeniesienie Relikwi Św. Stanisława Bpa,Przeniesienie Relikwii św. Stanisława Biskupa i Męczennika,Przeniesienie Relikwii św. Stanisława Biskupa i Męczennika,,,
Przeniesienie Relikwii Mikołaja Bp,Przeniesienie Relikwii św. Mikołaja Biskupa,Przeniesienie Relikwii św. Mikołaja Biskupa,,,
